Timestamp start: 1778160950794
Timestamp end: 1778162211094

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      302.7   151.7    86.8   151.0   169.6   289.5   337.5   363.5   382.0   402.9   431.4   478.3   620.4  1916.3  4849.6  18903.2    18886
read      349.6   466.1    80.4   137.8   154.0   268.3   328.0   362.2   387.8   420.0   468.5   584.9  2832.2  5902.8  8120.2  75990.1    75954
read      280.5   139.5    80.4   139.6   155.7   269.2   319.3   344.8   363.3   384.2   410.1   453.3   567.1  1313.0  3783.6  44456.5    44409
read      296.9   108.2    80.4   156.4   176.7   289.9   332.5   355.5   371.7   392.2   418.3   461.3   571.4   786.5  2932.5  16420.6    16431
read      337.8   427.2    80.4   137.6   153.6   264.4   320.5   352.8   376.8   406.9   454.2   568.2  2689.1  5176.1  8031.0  85682.3    85707
read      272.5   113.5    80.4   135.6   150.7   258.4   313.0   340.8   360.4   382.3   409.4   453.3   554.5   783.2  2951.6  58334.4    58253
read      292.4   150.8    80.4   142.7   160.1   267.9   320.8   351.6   374.1   402.2   441.4   513.9   712.8  1708.2  3978.9 103887.7   103867
read      290.7   108.0    80.4   147.5   166.4   285.8   329.8   353.3   369.8   390.1   415.4   455.9   546.0   736.8  2712.1  21532.0    21604
read      331.7   413.2    80.4   137.1   152.2   257.8   315.2   347.5   372.0   402.0   447.3   568.1  2626.3  4945.8  7959.4  90302.9    90401
read      259.2   111.5    80.4   132.3   146.2   238.6   292.7   322.3   343.3   367.5   396.7   438.9   548.4   938.5  2028.3  84456.1    84467
read      267.9   127.2    80.4   136.4   151.2   246.7   298.1   327.2   348.1   372.9   404.1   456.4   591.5  1198.9  2916.4  99550.7    99700
read      298.7   117.5    80.4   139.8   157.3   291.4   344.6   372.9   393.3   416.9   447.1   495.7   587.6   742.5  2500.6  32076.9    32052
read      285.0   109.3    80.4   150.1   168.6   281.8   322.2   343.6   359.1   375.6   398.1   431.0   505.2   679.1  3599.0  18191.2    18173
read      301.2   303.7    80.4   133.9   148.9   252.4   309.8   340.3   362.2   387.9   422.4   494.0  1605.3  3791.4  7928.7  67876.8    67789
read      268.3   109.5    80.4   136.7   151.4   257.1   309.6   335.6   353.4   373.2   398.3   434.0   513.6   710.1  2763.3  51862.3    51929
read      262.9   111.3    80.4   132.3   146.9   242.5   296.1   326.3   347.5   372.3   402.8   450.3   572.2   954.1  1897.6  83998.3    83850
read      299.7   110.6    80.4   153.7   175.0   293.4   337.7   361.7   378.3   398.5   425.4   467.7   571.3   779.9  3084.9  18614.0    18614
read      316.5   133.3    80.4   143.9   164.2   306.9   364.2   394.5   416.2   441.4   476.4   531.7   636.7   850.0  3198.4  29314.9    29315
read      345.8   316.3    86.8   151.0   170.9   292.1   351.5   388.4   417.2   455.5   511.0   618.2  1611.9  4058.1  7857.6 108051.5   108090
read      309.0   126.8    80.4   145.8   165.7   300.2   352.7   380.8   400.8   425.3   457.8   509.1   621.4   862.2  2882.2  26987.3    27024
read      273.5   112.8    80.4   136.8   151.9   261.4   313.8   340.0   358.6   379.6   406.1   451.5   569.0   805.1  2679.9  49775.1    49907

Total QPS = 53834.2 (67831112 / 1260.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 16754285405 bytes :   12.7 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
