Timestamp start: 1778760371212
Timestamp end: 1778761501563

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      292.5   452.6    74.4   119.0   132.7   234.3   287.5   315.5   336.2   362.0   398.0   479.5  1324.1  6545.3  9259.1  78669.8    78989
read      273.5   206.4    80.4   130.2   149.6   250.8   289.5   311.4   327.6   346.7   372.9   418.8   909.5  2938.3  7404.5  18831.2    18886
read      275.4   248.3    74.4   114.5   127.1   230.2   290.0   323.6   351.6   391.2   453.3   560.9   910.8  3220.3  7599.1  75951.0    75954
read      277.5   200.6    74.4   115.7   129.2   249.6   302.6   334.7   359.9   391.3   432.6   505.6   795.4  2673.8  5117.1  44378.6    44409
read      222.5    72.3    80.4   133.0   149.1   219.2   243.0   256.1   266.2   276.7   292.5   316.5   375.4   676.3  2939.5  16401.2    16431
read      242.8   208.3    74.4   114.9   127.3   218.6   269.3   295.2   313.5   334.9   362.7   407.9   579.4  3335.8  6712.4  85473.2    85707
read      273.6   198.4    74.4   113.9   126.0   241.1   298.8   332.9   360.4   396.4   446.4   530.0   788.5  2776.9  4428.8  58212.4    58253
read      259.2   239.8    74.4   118.9   132.5   227.7   276.1   302.7   321.3   344.8   376.9   435.0   697.0  3432.5  7651.6 104023.6   103867
read      265.5   149.5    80.4   124.8   143.0   251.3   294.3   317.4   334.5   354.4   379.9   421.2   609.1  1843.4  6548.7  21661.2    21604
read      267.3   381.6    74.4   116.6   129.5   224.9   275.1   302.3   320.8   344.3   375.6   434.7   710.0  6644.6  9354.9  90618.0    90401
read      244.6   152.3    74.4   115.2   127.9   220.8   272.3   298.8   317.5   339.9   369.4   425.0   663.7  1853.7  4653.7  84507.4    84467
read      242.9   132.2    74.4   118.1   131.2   223.6   272.6   298.6   317.2   339.6   369.1   420.1   562.3  1330.8  3772.4  99780.8    99700
read      288.7   189.8    74.4   119.4   136.2   266.3   320.8   353.9   377.1   403.5   436.5   492.6   687.8  2635.5  5955.8  32120.8    32052
read      253.2   147.9    80.4   128.6   146.5   240.8   276.6   296.7   312.3   330.1   352.6   390.0   525.4  1756.0  7600.1  18092.6    18173
read      294.1   296.2    74.4   115.0   127.8   239.5   299.6   336.1   366.7   409.1   472.6   584.4  1450.5  3701.4  7682.5  67563.0    67789
read      264.9   166.8    74.4   114.7   127.2   243.1   296.2   327.1   351.3   382.8   424.6   492.2   661.9  1601.3  6160.0  52066.4    51929
read      242.5   153.2    74.4   115.6   128.3   221.2   272.4   299.0   317.4   339.2   367.6   416.3   586.9  1850.7  5820.8  83867.6    83850
